0, 257.0
70, 217.6
140, 259.6
210, 273.75
280, 283.65
350, 269.7
420, 254.8
490, 269.55
560, 361.05
630, 386.8
700, 417.7
770, 368.35
840, 451.85
910, 404.55
980, 437.0
1050, 447.35
1120, 415.4
1190, 405.9
1260, 400.75
1330, 416.6
1400, 380.6
1470, 405.5
1540, 457.8
1610, 395.3
1680, 391.8
1750, 151.1
1820, 131.75
1890, 147.45
1960, 280.25
2030, 299.7
2100, 236.15
2170, 236.65
2240, 227.9
2310, 243.5
2380, 251.45
2450, 355.0
2520, 335.55
2590, 434.65
2660, 467.7
2730, 500.7
2800, 322.2
2870, 344.8
